QBfffffffffff	TimeUS	Health	D0	D45	D90	D135	D180	D225	D270	D315	DUp	CAn	CDis
PRX	74202477	2	9.19	0	3.4	0	25.99	0	22.9	0	0	90	3.4
PRX	74302799	2	9.32	0	3.27	0	25.99	0	25.22	0	0	90	3.27
PRX	74402355	2	9.47	0	3.27	0	25.99	0	25.8	0	0	90	3.27
PRX	74502531	2	9.47	0	3.38	0	25.99	0	16.57	0	0	90	3.38
PRX	74602352	2	9.56	0	3.52	0	25.99	0	14.13	0	0	90	3.52
PRX	74702402	2	9.51	0	3.84	0	25.99	0	13.19	0	0	90	3.84
PRX	74802482	2	9.48	0	4.17	0	25.99	0	12.92	0	0	90	4.17
PRX	74902382	2	9.34	0	4.49	0	25.99	0	14.07	0	0	90	4.49
PRX	75002469	2	9.29	0	4.89	0	25.99	0	12.46	0	0	90	4.89
PRX	75102479	2	9.02	0	5.51	0	25.99	0	15.37	0	0	90	5.51
PRX	75202466	2	8.69	0	5.95	0	25.99	0	12.06	0	0	90	5.95
PRX	75302640	2	8.48	0	6.45	0	25.99	0	10.83	0	0	90	6.45
PRX	75402469	2	8.07	0	7.05	0	25.99	0	10.15	0	0	90	7.05
PRX	75502967	2	7.61	0	7.9	0	25.99	0	9.43	0	0	0	7.61
PRX	75602862	2	7.36	0	8.51	0	25.99	0	10.74	0	0	0	7.36
PRX	75702371	2	7.18	0	9.09	0	25.99	0	17.58	0	0	0	7.18
PRX	75802495	2	6.94	0	9.84	0	25.99	0	9.27	0	0	0	6.94
PRX	75902374	2	6.75	0	10.42	0	25.99	0	11.62	0	0	0	6.75
PRX	76002404	2	6.56	0	11.05	0	25.99	0	6.85	0	0	0	6.56
PRX	76102807	2	6.52	0	18.68	0	25.99	0	5.22	0	0	270	5.22
PRX	76202425	2	6.49	0	13.56	0	25.99	0	4.32	0	0	270	4.32
PRX	76302356	2	6.53	0	19.72	0	25.99	0	3.37	0	0	270	3.37
PRX	76402401	2	6.62	0	18.38	0	25.99	0	8.28	0	0	0	6.62
PRX	76502564	2	6.83	0	15.13	0	25.99	0	9.5	0	0	0	6.83
PRX	76602362	2	7.07	0	23.28	0	25.99	0	3.9	0	0	270	3.9
PRX	76702485	2	7.34	0	25.32	0	25.99	0	2.39	0	0	270	2.39
PRX	76803739	2	7.33	0	25.83	0	25.99	0	1.86	0	0	270	1.86
PRX	76902477	2	7.52	0	25.95	0	25.3	0	1.84	0	0	270	1.84
PRX	77002498	2	7.7	0	25.99	0	25.5	0	1.81	0	0	270	1.81
