	Lab 3 output:

straight time is 10000 and turn time is 2000 
x = 1.078834  y = -1.056352 
x = 1.078799  y = -1.055372 
x = 1.078799  y = -1.055377 
x = 1.078799  y = -1.055377 
x = 1.078799  y = -1.055380 
x = 1.078799  y = -1.055380 
x = 1.078798  y = -1.055383 
x = 1.078798  y = -1.055383 
x = 1.078797  y = -1.055385 
x = 1.078797  y = -1.055386 
x = 1.078797  y = -1.055386 
x = 1.078796  y = -1.055386 
x = 1.078796  y = -1.055387 
x = 1.078795  y = -1.055388 
x = 1.078795  y = -1.055388 
x = 1.078795  y = -1.055388 
x = 1.078794  y = -1.055389 
x = 1.078857  y = -1.055214 
x = 1.078857  y = -1.055214 
x = 1.078889  y = -1.055050 
x = 1.078889  y = -1.055050 
x = 1.078857  y = -1.055702 
x = 1.078771  y = -1.056687 
x = 1.078842  y = -1.057796 
x = 1.078842  y = -1.057796 
x = 1.078875  y = -1.058909 
x = 1.079039  y = -1.060036 
x = 1.079039  y = -1.060036 
x = 1.079455  y = -1.060927 
x = 1.079733  y = -1.061917 
x = 1.079733  y = -1.061917 
x = 1.079778  y = -1.063611 
x = 1.079778  y = -1.063611 
x = 1.080539  y = -1.063211 
x = 1.080449  y = -1.064520 
x = 1.080449  y = -1.064520 
x = 1.081186  y = -1.064582 
x = 1.082010  y = -1.064335 
x = 1.082010  y = -1.064335 
x = 1.082715  y = -1.064710 
x = 1.083477  y = -1.064587 
x = 1.083477  y = -1.064587 
x = 1.083867  y = -1.065478 
x = 1.085064  y = -1.064920 
x = 1.085064  y = -1.064920 
x = 1.085469  y = -1.065533 
x = 1.086397  y = -1.065458 
x = 1.086994  y = -1.065917 
x = 1.086944  y = -1.066550 
x = 1.086944  y = -1.066550 
x = 1.087245  y = -1.066921 
x = 1.087401  y = -1.067276 
x = 1.087401  y = -1.067276 
x = 1.087770  y = -1.067824 
x = 1.088142  y = -1.068112 
x = 1.088182  y = -1.068586 
x = 1.088182  y = -1.068586 
x = 1.088602  y = -1.068908 
x = 1.088602  y = -1.068908 
x = 1.088938  y = -1.069139 
x = 1.089184  y = -1.069209 
x = 1.089268  y = -1.069176 
x = 1.089268  y = -1.069175 
x = 1.089269  y = -1.069174 
x = 1.089269  y = -1.069174 
x = 1.089269  y = -1.069174 
x = 1.089269  y = -1.069173 
x = 1.089269  y = -1.069173 
x = 1.089269  y = -1.069173 
x = 1.089269  y = -1.069173 
x = 1.089269  y = -1.069173 
x = 1.089269  y = -1.069173 
x = 1.089269  y = -1.069173 
x = 1.089269  y = -1.069173 
x = 1.089292  y = -1.069166 
x = 1.089293  y = -1.069166 
x = 1.089293  y = -1.069166 
x = 1.089294  y = -1.069165 
x = 1.083923  y = -1.071044 
x = 1.083923  y = -1.071044 
x = 1.071833  y = -1.075089 
x = 1.071833  y = -1.075089 
x = 1.066833  y = -1.076746 
x = 1.060762  y = -1.078539 
x = 1.060762  y = -1.078539 
x = 1.055142  y = -1.080280 
x = 1.049432  y = -1.081819 
x = 1.049432  y = -1.081819 
x = 1.043397  y = -1.083564 
x = 1.037685  y = -1.084997 
x = 1.037685  y = -1.084997 
x = 1.031907  y = -1.086544 
x = 1.025691  y = -1.087987 
x = 1.025691  y = -1.087987 
x = 1.013971  y = -1.090695 
x = 1.013971  y = -1.090695 
x = 1.008152  y = -1.092032 
x = 1.002008  y = -1.093257 
x = 0.996079  y = -1.094538 
x = 0.996079  y = -1.094538 
x = 0.990172  y = -1.095609 
x = 0.990172  y = -1.095609 
x = 0.983925  y = -1.096876 
x = 0.978023  y = -1.097880 
x = 0.978023  y = -1.097880 
x = 0.972053  y = -1.099010 
x = 0.965674  y = -1.100020 
x = 0.959918  y = -1.101042 
x = 0.959918  y = -1.101042 
x = 0.953646  y = -1.101965 
x = 0.947697  y = -1.102941 
x = 0.947697  y = -1.102941 
x = 0.941437  y = -1.103796 
x = 0.935376  y = -1.104734 
x = 0.935376  y = -1.104734 
x = 0.929369  y = -1.105473 
x = 0.923017  y = -1.106401 
x = 0.917025  y = -1.107097 
x = 0.917025  y = -1.107097 
x = 0.910953  y = -1.107928 
x = 0.904495  y = -1.108629 
x = 0.898662  y = -1.109386 
x = 0.892306  y = -1.110033 
x = 0.892306  y = -1.110033 
x = 0.886294  y = -1.110758 
x = 0.886294  y = -1.110758 
x = 0.879974  y = -1.111358 
x = 0.873845  y = -1.112058 
x = 0.873845  y = -1.112058 
x = 0.867783  y = -1.112571 
x = 0.861381  y = -1.113265 
x = 0.855335  y = -1.113748 
x = 0.855335  y = -1.113748 
x = 0.849211  y = -1.114371 
x = 0.842712  y = -1.114858 
x = 0.836839  y = -1.115429 
x = 0.830437  y = -1.115882 
x = 0.830437  y = -1.115882 
x = 0.824391  y = -1.116431 
x = 0.824391  y = -1.116431 
x = 0.818041  y = -1.116854 
x = 0.811874  y = -1.117392 
x = 0.811874  y = -1.117392 
x = 0.805784  y = -1.117751 
x = 0.799355  y = -1.118287 
x = 0.793281  y = -1.118627 
x = 0.793281  y = -1.118627 
x = 0.787129  y = -1.119109 
x = 0.780610  y = -1.119449 
x = 0.774715  y = -1.119893 
x = 0.768288  y = -1.120211 
x = 0.768288  y = -1.120211 
x = 0.762224  y = -1.120637 
x = 0.755858  y = -1.120938 
x = 0.755858  y = -1.120938 
x = 0.749669  y = -1.121361 
x = 0.743562  y = -1.121613 
x = 0.737119  y = -1.122041 
x = 0.737119  y = -1.122041 
x = 0.731030  y = -1.122285 
x = 0.731030  y = -1.122285 
x = 0.724861  y = -1.122672 
x = 0.718331  y = -1.122916 
x = 0.718331  y = -1.122916 
x = 0.712425  y = -1.123275 
x = 0.705984  y = -1.123502 
x = 0.699910  y = -1.123845 
x = 0.699910  y = -1.123845 
x = 0.693535  y = -1.124060 
x = 0.687333  y = -1.124405 
x = 0.681217  y = -1.124581 
x = 0.674765  y = -1.124933 
x = 0.674765  y = -1.124933 
x = 0.668666  y = -1.125109 
x = 0.662487  y = -1.125432 
x = 0.662487  y = -1.125432 
x = 0.655951  y = -1.125611 
x = 0.650038  y = -1.125913 
x = 0.650038  y = -1.125913 
x = 0.643589  y = -1.126081 
x = 0.637509  y = -1.126369 
x = 0.637509  y = -1.126369 
x = 0.631131  y = -1.126528 
x = 0.624921  y = -1.126819 
x = 0.624921  y = -1.126819 
x = 0.618799  y = -1.126944 
x = 0.612343  y = -1.127242 
x = 0.606238  y = -1.127370 
x = 0.606238  y = -1.127370 
x = 0.600052  y = -1.127646 
x = 0.593511  y = -1.127779 
x = 0.587593  y = -1.128042 
x = 0.581138  y = -1.128171 
x = 0.581138  y = -1.128171 
x = 0.575056  y = -1.128423 
x = 0.568675  y = -1.128546 
x = 0.568675  y = -1.128546 
x = 0.562460  y = -1.128802 
x = 0.562460  y = -1.128802 
x = 0.556336  y = -1.128893 
x = 0.549877  y = -1.129156 
x = 0.543769  y = -1.129251 
x = 0.537579  y = -1.129495 
x = 0.531037  y = -1.129593 
x = 0.531037  y = -1.129593 
x = 0.525114  y = -1.129828 
x = 0.525114  y = -1.129828 
x = 0.518656  y = -1.129927 
x = 0.512571  y = -1.130154 
x = 0.506187  y = -1.130252 
x = 0.506187  y = -1.130252 
x = 0.499970  y = -1.130486 
x = 0.493844  y = -1.130556 
x = 0.493844  y = -1.130556 
x = 0.487384  y = -1.130798 
x = 0.487384  y = -1.130798 
x = 0.475083  y = -1.131095 
x = 0.475083  y = -1.131095 
x = 0.468539  y = -1.131171 
x = 0.462616  y = -1.131386 
x = 0.456155  y = -1.131463 
x = 0.456155  y = -1.131463 
x = 0.450068  y = -1.131670 
x = 0.443683  y = -1.131750 
x = 0.443683  y = -1.131750 
x = 0.437463  y = -1.131966 
x = 0.431335  y = -1.132022 
x = 0.431335  y = -1.132022 
x = 0.424874  y = -1.132249 
x = 0.418764  y = -1.132311 
x = 0.418764  y = -1.132311 
x = 0.412571  y = -1.132521 
x = 0.406027  y = -1.132584 
x = 0.406027  y = -1.132584 
x = 0.400103  y = -1.132787 
x = 0.393641  y = -1.132850 
x = 0.387554  y = -1.133044 
x = 0.387554  y = -1.133044 
x = 0.374946  y = -1.133313 
x = 0.374946  y = -1.133313 
x = 0.368817  y = -1.133356 
x = 0.368817  y = -1.133356 
x = 0.362355  y = -1.133572 
x = 0.356243  y = -1.133624 
x = 0.350049  y = -1.133826 
x = 0.350049  y = -1.133826 
x = 0.343505  y = -1.133882 
x = 0.337580  y = -1.134078 
x = 0.337580  y = -1.134078 
x = 0.331118  y = -1.134133 
x = 0.331118  y = -1.134133 
x = 0.318644  y = -1.134376 
x = 0.318644  y = -1.134376 
x = 0.312422  y = -1.134571 
x = 0.306292  y = -1.134606 
x = 0.299829  y = -1.134812 
x = 0.299829  y = -1.134812 
x = 0.293716  y = -1.134856 
x = 0.287520  y = -1.135050 
x = 0.287520  y = -1.135050 
x = 0.280975  y = -1.135099 
x = 0.275050  y = -1.135290 
x = 0.275050  y = -1.135290 
x = 0.268587  y = -1.135342 
x = 0.262499  y = -1.135525 
x = 0.256114  y = -1.135577 
x = 0.256114  y = -1.135577 
x = 0.249892  y = -1.135768 
x = 0.249892  y = -1.135768 
x = 0.243761  y = -1.135797 
x = 0.237299  y = -1.135998 
x = 0.237299  y = -1.135998 
x = 0.224988  y = -1.136225 
x = 0.224988  y = -1.136225 
x = 0.218443  y = -1.136266 
x = 0.212517  y = -1.136452 
x = 0.212517  y = -1.136452 
x = 0.206053  y = -1.136499 
x = 0.199965  y = -1.136679 
x = 0.200337  y = -1.136626 
x = 0.200337  y = -1.136626 
x = 0.200646  y = -1.136620 
x = 0.200711  y = -1.136619 
x = 0.200711  y = -1.136619 
x = 0.200776  y = -1.136618 
x = 0.200778  y = -1.136619 
x = 0.200778  y = -1.136619 
x = 0.200810  y = -1.136614 
x = 0.200835  y = -1.136614 
x = 0.200838  y = -1.136615 
x = 0.200838  y = -1.136615 
x = 0.200839  y = -1.136615 
x = 0.200840  y = -1.136615 
x = 0.200841  y = -1.136616 
x = 0.200841  y = -1.136616 
x = 0.200842  y = -1.136616 
x = 0.200842  y = -1.136616 
x = 0.200842  y = -1.136616 
x = 0.200690  y = -1.136663 
x = 0.200317  y = -1.136599 
x = 0.200317  y = -1.136599 
x = 0.200309  y = -1.136740 
x = 0.199332  y = -1.136695 
x = 0.199332  y = -1.136695 
x = 0.197045  y = -1.136851 
x = 0.197045  y = -1.136851 
x = 0.196134  y = -1.136945 
x = 0.194871  y = -1.137190 
x = 0.194871  y = -1.137190 
x = 0.194132  y = -1.137556 
x = 0.193249  y = -1.138075 
x = 0.193249  y = -1.138075 
x = 0.192181  y = -1.137652 
x = 0.191865  y = -1.137751 
x = 0.191865  y = -1.137751 
x = 0.191625  y = -1.138521 
x = 0.190432  y = -1.137858 
x = 0.190432  y = -1.137858 
x = 0.189336  y = -1.138698 
x = 0.189336  y = -1.138698 
x = 0.189049  y = -1.138985 
x = 0.188165  y = -1.139166 
x = 0.188165  y = -1.139166 
x = 0.187874  y = -1.139854 
x = 0.188095  y = -1.140845 
x = 0.188095  y = -1.140845 
x = 0.188297  y = -1.141898 
x = 0.188491  y = -1.142975 
x = 0.188491  y = -1.142975 
x = 0.188744  y = -1.144015 
x = 0.188833  y = -1.145339 
x = 0.188833  y = -1.145339 
x = 0.188702  y = -1.146668 
x = 0.188702  y = -1.146668 
x = 0.188766  y = -1.147491 
x = 0.188365  y = -1.147330 
x = 0.188365  y = -1.147330 
x = 0.188472  y = -1.148353 
x = 0.188237  y = -1.148759 
x = 0.188237  y = -1.148759 
