IMU,65780794,-0.00501799,-0.004736413,-0.002634031,0.6303734,-0.0205604,-9.757614,0,0,43.81792,1,1,999,999,,,,
IMU,65820769,0.00979181,0.005277912,-0.01718646,-0.2627966,0.08348645,-9.648124,0,0,43.8138,1,1,999,999,,,,
CTUN,65840769,0,0,0,0.3065111,0.04911767,0.04911767,-0.02,0,0.19,0,0,-4,,,,,
ATT,65840906,0,0.3,0,-0.51,0.43,0.43,0,1,,,,,,,,,
PRX,65841106,2,7.52,0,6.51,0,14.43,0,9.82,0,0,90,6.51,,,,,
IMU,65861379,-0.00477758,-0.004296958,0.03008398,0.3623376,-1.04945,-9.923409,0,0,43.80811,1,1,999,999,,,,
IMU,65900792,-0.01034759,0.0002612131,-0.01714634,0.1394921,0.02142516,-10.00581,0,0,43.79776,1,1,999,999,,,,
CTUN,65940701,0,0,0,0.3065111,0.0448067,0.0448067,-0.05,0,0.19,0,0,-4,,,,,
ATT,65940887,0,0.3,0,-0.51,0.45,0.46,0,1,,,,,,,,,
PRX,65941079,2,7.55,0,6.51,0,14.48,0,9.86,0,0,90,6.51,,,,,
IMU,65941087,0.009156674,0.0001057025,-0.005394012,-0.0005083065,-0.08553385,-9.885424,0,0,43.78154,1,1,999,999,,,,
IMU,65980653,0.001519772,-0.006712504,0.01435752,-1.118411,0.2495846,-9.175132,0,0,43.76226,1,1,999,999,,,,
IMU,66020576,-0.01334691,0.007170126,-0.001240753,0.8969721,-0.3680636,-9.747728,0,0,43.74075,1,1,999,999,,,,
CTUN,66040745,0,0,0,0.3065111,0.04019718,0.04019718,-0.06,0,0.19,0,0,-5,,,,,
ATT,66040913,0,0.29,0,-0.51,0.46,0.46,0,1,,,,,,,,,
PRX,66041100,2,7.51,0,6.54,0,14.54,0,9.85,0,0,90,6.54,,,,,
IMU,66060562,0.006584411,-0.005605076,-0.01326845,-0.06342179,0.6949271,-10.06338,0,0,43.71726,1,1,999,999,,,,
IMU,66101531,-0.003888557,-0.001125767,0.00946594,-0.6599933,-0.2617009,-9.922234,0,0,43.69406,1,1,999,999,,,,
CTUN,66140696,0,0,0,0.3065111,0.0353832,0.0353832,-0.14,0,0.19,0,0,-6,,,,,
ATT,66140863,0,0.3,0,-0.5,0.44,0.44,0,1,,,,,,,,,
PRX,66141060,2,7.56,0,6.47,0,14.53,0,9.83,0,0,90,6.47,,,,,
IMU,66141068,-0.004928296,0.006139795,0.007973346,0.6040679,-0.1454196,-9.779352,0,0,43.6715,1,1,999,999,,,,
IMU,66181360,0.002202593,-0.009295981,-0.0209249,0.6766945,0.2201332,-9.721387,0,0,43.65141,1,1,999,999,,,,
IMU,66220797,-0.004595986,-0.003465822,0.01005826,-0.1679161,-0.2098641,-9.689964,0,0,43.63322,1,1,999,999,,,,
CTUN,66240672,0,0,0,0.3065111,0.03017744,0.03017744,-0.15,0,0.19,0,0,-6,,,,,
ATT,66240743,0,0.29,0,-0.51,0.45,0.45,0,1,,,,,,,,,
PRX,66240894,2,7.51,0,6.51,0,14.44,0,9.86,0,0,90,6.51,,,,,
IMU,66260703,0.008858442,0.002786327,-0.002862819,-0.1438479,0.06997267,-9.60778,0,0,43.61736,1,1,999,999,,,,
IMU,66300689,-0.009766029,0.001640097,0.006448927,1.128062,-0.9108679,-9.754799,0,0,43.60446,1,1,999,999,,,,
CTUN,66340680,0,0,0,0.3065111,0.02467692,0.02467692,-0.09,0,0.19,0,0,-7,,,,,
ATT,66340780,0,0.31,0,-0.51,0.43,0.44,0,1,,,,,,,,,
PRX,66340905,2,7.55,0,6.5,0,14.41,0,9.83,0,0,90,6.5,,,,,
